Wall time,Step,Value
1693313608.9551604,0,0.11440890282392502
1693313631.639531,1,0.09297209233045578
1693313653.3470967,2,0.08915777504444122
1693313675.5854137,3,0.08321264386177063
1693313697.546582,4,0.07789070904254913
1693313718.3322875,5,0.072600819170475
1693313739.3522427,6,0.06946826726198196
1693313761.3194845,7,0.06571704149246216
1693313782.3262663,8,0.06328576803207397
1693313804.0457969,9,0.06157448887825012
1693313824.929125,10,0.059803277254104614
1693313845.7732832,11,0.059126097708940506
1693313867.5486956,12,0.05911104008555412
1693313888.5428042,13,0.058090802282094955
1693313910.0849311,14,0.05561426281929016
1693313931.5734327,15,0.05625816062092781
1693313952.4416108,16,0.05396962910890579
1693313974.0722332,17,0.053405892103910446
1693313994.6997886,18,0.053136516362428665
1693314015.8813584,19,0.05304286628961563
1693314036.918651,20,0.05185390263795853
1693314058.4499462,21,0.050325363874435425
1693314080.3315246,22,0.05189892277121544
1693314098.6957238,23,0.05088896304368973
1693314118.9153745,24,0.05166107416152954
1693314143.2088697,25,0.04931720718741417
1693314170.873363,26,0.050706423819065094
1693314197.7481537,27,0.049307916313409805
1693314225.5415263,28,0.04842495918273926
1693314251.3841581,29,0.047894444316625595
1693314273.4401166,30,0.04840996488928795
1693314296.5353482,31,0.04770544543862343
1693314315.2911189,32,0.04786286875605583
1693314341.9515588,33,0.04650195688009262
1693314360.7174413,34,0.04727853462100029
1693314377.033601,35,0.04632935672998428
1693314400.2017732,36,0.04533376172184944
1693314426.065905,37,0.04585505649447441
1693314451.131839,38,0.04491465538740158
1693314466.2011979,39,0.044840648770332336
1693314484.3244042,40,0.04476024955511093
1693314509.2798202,41,0.045566704124212265
1693314536.623459,42,0.044503048062324524
1693314558.1011403,43,0.04380382224917412
1693314578.6167002,44,0.04411698505282402
1693314598.133344,45,0.042023785412311554
1693314617.9059372,46,0.04358898103237152
1693314638.3473911,47,0.04335363581776619
1693314658.7554705,48,0.042602118104696274
1693314679.4507384,49,0.043612781912088394
