Wall time,Step,Value
1693313608.9551604,0,0.037377115339040756
1693313631.639531,1,0.02405451238155365
1693313653.350688,2,0.0140725402161479
1693313675.586492,3,0.01060157734900713
1693313697.546582,4,0.008710738271474838
1693313718.3322875,5,0.007434367667883635
1693313739.3522427,6,0.006851350422948599
1693313761.3204815,7,0.006487605627626181
1693313782.3272624,8,0.0059974524192512035
1693313804.0457969,9,0.005262470338493586
1693313824.929125,10,0.00529839750379324
1693313845.7732832,11,0.004990451969206333
1693313867.5486956,12,0.004617667756974697
1693313888.5428042,13,0.004942106083035469
1693313910.085942,14,0.004584675654768944
1693313931.5734327,15,0.004686011932790279
1693313952.4416108,16,0.0044363695196807384
1693313974.0722332,17,0.004359530285000801
1693313994.7007854,18,0.004098010715097189
1693314015.8823552,19,0.003817831864580512
1693314036.9196475,20,0.0036965988110750914
1693314058.4499462,21,0.0035189781337976456
1693314080.3315246,22,0.0037040996830910444
1693314098.6957238,23,0.0033341848757117987
1693314118.9153745,24,0.0033430345356464386
1693314143.2088697,25,0.0035141599364578724
1693314170.8740032,26,0.0034749668557196856
1693314197.7491498,27,0.003201028797775507
1693314225.5416808,28,0.0032866825349628925
1693314251.3851547,29,0.003307737410068512
1693314273.4401166,30,0.00319566554389894
1693314296.53639,31,0.0031565800309181213
1693314315.2911189,32,0.002833089092746377
1693314341.952555,33,0.0031153305899351835
1693314360.7184381,34,0.002947710221633315
1693314377.033601,35,0.0031120036728680134
1693314400.2017732,36,0.00278937048278749
1693314426.065905,37,0.00272495299577713
1693314451.1328354,38,0.0032371971756219864
1693314466.2011979,39,0.0024506074842065573
1693314484.3244042,40,0.002157469978556037
1693314509.2798202,41,0.0026989392936229706
1693314536.623459,42,0.0022589589934796095
1693314558.1011403,43,0.0026091081090271473
1693314578.6167002,44,0.0023064555134624243
1693314598.133344,45,0.0019900170154869556
1693314617.9059372,46,0.002154486021026969
1693314638.3483803,47,0.002589187351986766
1693314658.7554705,48,0.0020636848639696836
1693314679.4507384,49,0.0024213974829763174
